epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,691.979,1.44582,1.79244,0.68108,0.01997,0.64431,0.72786,0.56473,0.6311,0.2679,0.74226,0.58055,0.65224,0.25555,1.48607,1.86696,2.28419,0.02608,0,0.000666014,0.000666014,0.000666014
2,1277.88,1.64078,1.9812,0.84434,0.0234,0.81641,0.67139,0.52468,0.56141,0.2406,0.6832,0.52327,0.55196,0.21575,1.4597,2.06633,1.8087,0.02645,0,0.00130039,0.00130039,0.00130039
3,1854.48,1.72801,2.02836,0.94536,0.02478,0.86671,0.73271,0.44996,0.53807,0.21334,0.75093,0.46115,0.55383,0.22292,1.58355,1.96388,1.88811,0.02814,0,0.00181034,0.00181034,0.00181034
4,2423.13,1.66057,1.95877,0.86765,0.0236,0.78928,0.6213,0.5068,0.53153,0.22592,0.65236,0.52129,0.58934,0.25028,1.56418,1.86116,1.93311,0.02841,0,0.00159191,0.00159191,0.00159191
5,2990.9,1.55013,1.83642,0.7525,0.02174,0.67374,0.69308,0.51141,0.59271,0.23806,0.761,0.50241,0.60877,0.23892,1.57335,2.0032,2.37831,0.02784,0,0.00131593,0.00131593,0.00131593
6,3557.43,1.44109,1.75289,0.67015,0.02004,0.61796,0.7387,0.54631,0.61904,0.27247,0.74968,0.55809,0.63336,0.2583,1.50595,1.88742,1.90609,0.02702,0,0.00101,0.00101,0.00101
7,4122.99,1.34731,1.6557,0.59643,0.01841,0.55659,0.76052,0.50022,0.60222,0.27636,0.77109,0.51076,0.61705,0.27546,1.51787,1.933,2.31324,0.02789,0,0.000704073,0.000704073,0.000704073
8,4689.38,1.27412,1.59003,0.54632,0.01732,0.51771,0.75732,0.53357,0.63149,0.29316,0.7405,0.56255,0.65937,0.28534,1.48011,1.93458,1.85372,0.02622,0,0.000428093,0.000428093,0.000428093
9,5255.33,1.21497,1.53836,0.50906,0.01639,0.48659,0.76664,0.54719,0.64475,0.30741,0.77351,0.56146,0.66662,0.29505,1.47476,1.95904,1.66011,0.02617,0,0.000209073,0.000209073,0.000209073
10,5828.9,1.17767,1.51362,0.49869,0.01595,0.47509,0.75603,0.54807,0.64488,0.31035,0.76879,0.56036,0.66576,0.29466,1.46016,1.95567,1.72516,0.02578,0,6.8454e-05,6.8454e-05,6.8454e-05
